REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2020/05/01 00:30:00,7395.35,38.03,TRADE
NSW1,2020/05/01 01:00:00,7203.69,17.06,TRADE
NSW1,2020/05/01 01:30:00,7029.99,19.34,TRADE
NSW1,2020/05/01 02:00:00,6842.29,6.67,TRADE
NSW1,2020/05/01 02:30:00,6542.63,0,TRADE
NSW1,2020/05/01 03:00:00,6337.24,-4.91,TRADE
NSW1,2020/05/01 03:30:00,6184.43,-0.2,TRADE
NSW1,2020/05/01 04:00:00,6139.48,-4.84,TRADE
NSW1,2020/05/01 04:30:00,6140.43,1.83,TRADE
NSW1,2020/05/01 05:00:00,6201.52,0,TRADE
NSW1,2020/05/01 05:30:00,6486.41,0,TRADE
NSW1,2020/05/01 06:00:00,6677.55,1.17,TRADE
NSW1,2020/05/01 06:30:00,7124.38,25.03,TRADE
NSW1,2020/05/01 07:00:00,7483.37,36.48,TRADE
NSW1,2020/05/01 07:30:00,7698.2,38.34,TRADE
NSW1,2020/05/01 08:00:00,7931.57,39.47,TRADE
NSW1,2020/05/01 08:30:00,8008.42,39.88,TRADE
NSW1,2020/05/01 09:00:00,7985.56,40.42,TRADE
NSW1,2020/05/01 09:30:00,7854.24,39.99,TRADE
NSW1,2020/05/01 10:00:00,7755.59,38.8,TRADE
NSW1,2020/05/01 10:30:00,7652.96,36.25,TRADE
NSW1,2020/05/01 11:00:00,7579.35,38.69,TRADE
NSW1,2020/05/01 11:30:00,7418.23,36.64,TRADE
NSW1,2020/05/01 12:00:00,7362.87,23.12,TRADE
NSW1,2020/05/01 12:30:00,7369.48,20.92,TRADE
NSW1,2020/05/01 13:00:00,7344.02,21.88,TRADE
NSW1,2020/05/01 13:30:00,7286.76,8.47,TRADE
NSW1,2020/05/01 14:00:00,7334.78,26.44,TRADE
NSW1,2020/05/01 14:30:00,7389.98,19.56,TRADE
NSW1,2020/05/01 15:00:00,7594.58,22.03,TRADE
NSW1,2020/05/01 15:30:00,7797.77,19.82,TRADE
NSW1,2020/05/01 16:00:00,8089.35,34.4,TRADE
NSW1,2020/05/01 16:30:00,8375.95,38.77,TRADE
NSW1,2020/05/01 17:00:00,8758.31,41.31,TRADE
NSW1,2020/05/01 17:30:00,9235.48,44.15,TRADE
NSW1,2020/05/01 18:00:00,9711.99,55.32,TRADE
NSW1,2020/05/01 18:30:00,9826.56,47.67,TRADE
NSW1,2020/05/01 19:00:00,9676.17,41.25,TRADE
NSW1,2020/05/01 19:30:00,9354.79,37.71,TRADE
NSW1,2020/05/01 20:00:00,9144.85,38.23,TRADE
NSW1,2020/05/01 20:30:00,8930.18,38.14,TRADE
NSW1,2020/05/01 21:00:00,8624.95,33.79,TRADE
NSW1,2020/05/01 21:30:00,8430.13,19.34,TRADE
NSW1,2020/05/01 22:00:00,8200.4,2.37,TRADE
NSW1,2020/05/01 22:30:00,8231.82,30.02,TRADE
NSW1,2020/05/01 23:00:00,8018.68,24.61,TRADE
NSW1,2020/05/01 23:30:00,7916.47,39.97,TRADE
NSW1,2020/05/02 00:00:00,7830.59,32.78,TRADE
NSW1,2020/05/02 00:30:00,7623.69,32.86,TRADE
NSW1,2020/05/02 01:00:00,7409.17,39.8,TRADE
NSW1,2020/05/02 01:30:00,7209.9,35.01,TRADE
NSW1,2020/05/02 02:00:00,6918.09,35.47,TRADE
NSW1,2020/05/02 02:30:00,6593.16,35.11,TRADE
NSW1,2020/05/02 03:00:00,6376.49,11.07,TRADE
NSW1,2020/05/02 03:30:00,6179.38,29.35,TRADE
NSW1,2020/05/02 04:00:00,6057.58,26.11,TRADE
NSW1,2020/05/02 04:30:00,6102.3,39.4,TRADE
NSW1,2020/05/02 05:00:00,6052.18,28.79,TRADE
NSW1,2020/05/02 05:30:00,6129.52,36.55,TRADE
NSW1,2020/05/02 06:00:00,6170.69,28.72,TRADE
NSW1,2020/05/02 06:30:00,6397.36,36.69,TRADE
NSW1,2020/05/02 07:00:00,6580.97,34.54,TRADE
NSW1,2020/05/02 07:30:00,6777.59,38.52,TRADE
NSW1,2020/05/02 08:00:00,6925.68,31.3,TRADE
NSW1,2020/05/02 08:30:00,7087.88,32.29,TRADE
NSW1,2020/05/02 09:00:00,7220.94,38.22,TRADE
NSW1,2020/05/02 09:30:00,7154.76,35.39,TRADE
NSW1,2020/05/02 10:00:00,7022.43,27.38,TRADE
NSW1,2020/05/02 10:30:00,6891.55,19.01,TRADE
NSW1,2020/05/02 11:00:00,6753.85,21.4,TRADE
NSW1,2020/05/02 11:30:00,6554.15,27.06,TRADE
NSW1,2020/05/02 12:00:00,6486.64,24.8,TRADE
NSW1,2020/05/02 12:30:00,6457.18,34.45,TRADE
NSW1,2020/05/02 13:00:00,6479.27,7.69,TRADE
NSW1,2020/05/02 13:30:00,6473.83,12.63,TRADE
NSW1,2020/05/02 14:00:00,6513.59,41.04,TRADE
NSW1,2020/05/02 14:30:00,6537.06,24.63,TRADE
NSW1,2020/05/02 15:00:00,6706.97,16.67,TRADE
NSW1,2020/05/02 15:30:00,6982.92,31.14,TRADE
NSW1,2020/05/02 16:00:00,7272.42,34,TRADE
NSW1,2020/05/02 16:30:00,7625.85,35.08,TRADE
NSW1,2020/05/02 17:00:00,8072.26,42,TRADE
NSW1,2020/05/02 17:30:00,8495,43.03,TRADE
NSW1,2020/05/02 18:00:00,9125.03,72.1,TRADE
NSW1,2020/05/02 18:30:00,9186.82,47.96,TRADE
NSW1,2020/05/02 19:00:00,8993.66,41.04,TRADE
