"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"01/11/2015 00:05:00","CAPITL",61757,25.50,1.58,0.00
"01/11/2015 00:05:00","CENTRL",61754,23.69,-0.24,0.00
"01/11/2015 00:05:00","DUNWOD",61760,26.12,2.20,0.00
"01/11/2015 00:05:00","GENESE",61753,22.97,-0.96,0.00
"01/11/2015 00:05:00","H Q",61844,23.52,-0.41,0.00
"01/11/2015 00:05:00","HUD VL",61758,26.10,2.18,0.00
"01/11/2015 00:05:00","LONGIL",61762,137.64,2.89,-110.82
"01/11/2015 00:05:00","MHK VL",61756,24.71,0.79,0.00
"01/11/2015 00:05:00","MILLWD",61759,26.20,2.27,0.00
"01/11/2015 00:05:00","N.Y.C.",61761,26.29,2.37,0.00
"01/11/2015 00:05:00","NORTH",61755,23.38,-0.55,0.00
"01/11/2015 00:05:00","NPX",61845,25.77,1.84,0.00
"01/11/2015 00:05:00","O H",61846,21.87,-2.06,0.00
"01/11/2015 00:05:00","PJM",61847,24.36,0.43,0.00
"01/11/2015 00:05:00","WEST",61752,22.32,-1.60,0.00
"01/11/2015 00:10:00","CAPITL",61757,76.45,2.85,-32.21
"01/11/2015 00:10:00","CENTRL",61754,44.85,-0.37,-3.84
"01/11/2015 00:10:00","DUNWOD",61760,69.57,3.81,-24.38
"01/11/2015 00:10:00","GENESE",61753,42.70,-1.70,-3.01
"01/11/2015 00:10:00","H Q",61844,40.64,-0.74,0.00
"01/11/2015 00:10:00","HUD VL",61758,69.33,3.77,-24.17
"01/11/2015 00:10:00","LONGIL",61762,70.85,5.05,-24.41
"01/11/2015 00:10:00","MHK VL",61756,47.12,1.36,-4.36
"01/11/2015 00:10:00","MILLWD",61759,69.89,3.93,-24.57
"01/11/2015 00:10:00","N.Y.C.",61761,69.79,4.01,-24.39
"01/11/2015 00:10:00","NORTH",61755,40.23,-1.16,0.00
"01/11/2015 00:10:00","NPX",61845,73.44,3.31,-28.74
"01/11/2015 00:10:00","O H",61846,41.83,-3.64,-4.08
"01/11/2015 00:10:00","PJM",61847,58.56,0.78,-16.38
"01/11/2015 00:10:00","WEST",61752,42.32,-2.86,-3.78
"01/11/2015 00:15:00","CAPITL",61757,76.34,3.04,-31.15
"01/11/2015 00:15:00","CENTRL",61754,45.53,-0.34,-3.72
"01/11/2015 00:15:00","DUNWOD",61760,69.56,3.83,-23.58
"01/11/2015 00:15:00","GENESE",61753,43.37,-1.69,-2.91
"01/11/2015 00:15:00","H Q",61844,41.34,-0.80,0.00
"01/11/2015 00:15:00","HUD VL",61758,69.36,3.83,-23.38
"01/11/2015 00:15:00","LONGIL",61762,70.90,5.14,-23.61
"01/11/2015 00:15:00","MHK VL",61756,47.89,1.43,-4.31
"01/11/2015 00:15:00","MILLWD",61759,69.92,4.01,-23.76
"01/11/2015 00:15:00","N.Y.C.",61761,69.87,4.13,-23.59
"01/11/2015 00:15:00","NORTH",61755,40.84,-1.31,0.00
"01/11/2015 00:15:00","NPX",61845,73.40,3.46,-27.80
"01/11/2015 00:15:00","O H",61846,42.51,-3.58,-3.95
"01/11/2015 00:15:00","PJM",61847,58.83,0.84,-15.84
"01/11/2015 00:15:00","WEST",61752,42.98,-2.82,-3.66
"01/11/2015 00:20:00","CAPITL",61757,68.15,4.58,0.00
"01/11/2015 00:20:00","CENTRL",61754,63.13,-0.44,0.00
"01/11/2015 00:20:00","DUNWOD",61760,69.22,5.66,0.00
"01/11/2015 00:20:00","GENESE",61753,61.34,-2.23,0.00
"01/11/2015 00:20:00","H Q",61844,62.43,-1.14,0.00
"01/11/2015 00:20:00","HUD VL",61758,69.22,5.66,0.00
"01/11/2015 00:20:00","LONGIL",61762,71.30,7.62,-0.11
"01/11/2015 00:20:00","MHK VL",61756,65.66,2.09,0.00
"01/11/2015 00:20:00","MILLWD",61759,69.48,5.91,0.00
"01/11/2015 00:20:00","N.Y.C.",61761,69.61,6.04,0.00
"01/11/2015 00:20:00","NORTH",61755,61.72,-1.85,0.00
"01/11/2015 00:20:00","NPX",61845,68.66,5.09,0.00
"01/11/2015 00:20:00","O H",61846,58.61,-4.96,0.00
"01/11/2015 00:20:00","PJM",61847,64.84,1.27,0.00
"01/11/2015 00:20:00","WEST",61752,59.69,-3.88,0.00
"01/11/2015 00:25:00","CAPITL",61757,48.31,3.25,0.00
"01/11/2015 00:25:00","CENTRL",61754,44.61,-0.45,0.00
"01/11/2015 00:25:00","DUNWOD",61760,49.12,4.06,0.00
"01/11/2015 00:25:00","GENESE",61753,43.44,-1.62,0.00
"01/11/2015 00:25:00","H Q",61844,44.25,-0.81,0.00
"01/11/2015 00:25:00","HUD VL",61758,49.12,4.06,0.00
"01/11/2015 00:25:00","LONGIL",61762,79.06,5.40,-28.60
"01/11/2015 00:25:00","MHK VL",61756,46.50,1.44,0.00
"01/11/2015 00:25:00","MILLWD",61759,49.25,4.19,0.00
"01/11/2015 00:25:00","N.Y.C.",61761,49.39,4.33,0.00
"01/11/2015 00:25:00","NORTH",61755,43.75,-1.31,0.00
"01/11/2015 00:25:00","NPX",61845,48.67,3.61,0.00
"01/11/2015 00:25:00","O H",61846,41.41,-3.65,0.00
"01/11/2015 00:25:00","PJM",61847,45.87,0.81,0.00
"01/11/2015 00:25:00","WEST",61752,42.22,-2.84,0.00
"01/11/2015 00:30:00","CAPITL",61757,89.61,3.03,-45.01
"01/11/2015 00:30:00","CENTRL",61754,46.39,-0.54,-5.37
"01/11/2015 00:30:00","DUNWOD",61760,79.37,3.74,-34.07
"01/11/2015 00:30:00","GENESE",61753,44.15,-1.62,-4.21
"01/11/2015 00:30:00","H Q",61844,40.86,-0.71,0.00
"01/11/2015 00:30:00","HUD VL",61758,79.08,3.74,-33.78
"01/11/2015 00:30:00","LONGIL",61762,80.68,5.03,-34.09
"01/11/2015 00:30:00","MHK VL",61756,49.09,1.29,-6.23
"01/11/2015 00:30:00","MILLWD",61759,79.80,3.91,-34.34
"01/11/2015 00:30:00","N.Y.C.",61761,79.63,3.99,-34.08
"01/11/2015 00:30:00","NORTH",61755,40.44,-1.12,0.00
"01/11/2015 00:30:00","NPX",61845,85.09,3.37,-40.16
"01/11/2015 00:30:00","O H",61846,43.69,-3.57,-5.70
"01/11/2015 00:30:00","PJM",61847,65.12,0.66,-22.89
"01/11/2015 00:30:00","WEST",61752,44.02,-2.83,-5.28
"01/11/2015 00:35:00","CAPITL",61757,125.72,2.86,-83.20
"01/11/2015 00:35:00","CENTRL",61754,49.12,-0.47,-9.93
"01/11/2015 00:35:00","DUNWOD",61760,106.16,3.53,-62.97
"01/11/2015 00:35:00","GENESE",61753,45.89,-1.55,-7.78
"01/11/2015 00:35:00","H Q",61844,38.99,-0.67,0.00
"01/11/2015 00:35:00","HUD VL",61758,105.63,3.53,-62.44
"01/11/2015 00:35:00","LONGIL",61762,107.36,4.68,-63.02
"01/11/2015 00:35:00","MHK VL",61756,52.41,1.23,-11.52
"01/11/2015 00:35:00","MILLWD",61759,106.82,3.69,-63.47
"01/11/2015 00:35:00","N.Y.C.",61761,106.43,3.77,-63.00
"01/11/2015 00:35:00","NORTH",61755,38.59,-1.07,0.00
"01/11/2015 00:35:00","NPX",61845,117.11,3.21,-74.23
"01/11/2015 00:35:00","O H",61846,46.83,-3.37,-10.54
"01/11/2015 00:35:00","PJM",61847,82.61,0.63,-42.32
"01/11/2015 00:35:00","WEST",61752,46.81,-2.62,-9.77
"01/11/2015 00:40:00","CAPITL",61757,49.13,3.30,0.00
"01/11/2015 00:40:00","CENTRL",61754,45.46,-0.37,0.00
"01/11/2015 00:40:00","DUNWOD",61760,49.86,4.03,0.00
"01/11/2015 00:40:00","GENESE",61753,44.36,-1.47,0.00
"01/11/2015 00:40:00","H Q",61844,45.00,-0.82,0.00
"01/11/2015 00:40:00","HUD VL",61758,49.86,4.03,0.00
"01/11/2015 00:40:00","LONGIL",61762,51.19,5.36,0.00
"01/11/2015 00:40:00","MHK VL",61756,47.29,1.47,0.00
"01/11/2015 00:40:00","MILLWD",61759,50.04,4.21,0.00
"01/11/2015 00:40:00","N.Y.C.",61761,50.09,4.26,0.00
"01/11/2015 00:40:00","NORTH",61755,44.45,-1.37,0.00
"01/11/2015 00:40:00","NPX",61845,49.49,3.67,0.00
"01/11/2015 00:40:00","O H",61846,42.44,-3.39,0.00
"01/11/2015 00:40:00","PJM",61847,46.79,0.96,0.00
"01/11/2015 00:40:00","WEST",61752,43.31,-2.52,0.00
"01/11/2015 00:45:00","CAPITL",61757,74.96,3.33,-25.47
"01/11/2015 00:45:00","CENTRL",61754,48.69,-0.51,-3.04
"01/11/2015 00:45:00","DUNWOD",61760,69.50,4.06,-19.28
"01/11/2015 00:45:00","GENESE",61753,46.88,-1.66,-2.38
"01/11/2015 00:45:00","H Q",61844,45.38,-0.79,0.00
"01/11/2015 00:45:00","HUD VL",61758,69.34,4.06,-19.12
"01/11/2015 00:45:00","LONGIL",61762,77.23,5.49,-25.58
"01/11/2015 00:45:00","MHK VL",61756,51.12,1.43,-3.53
"01/11/2015 00:45:00","MILLWD",61759,69.84,4.24,-19.43
"01/11/2015 00:45:00","N.Y.C.",61761,69.79,4.34,-19.29
"01/11/2015 00:45:00","NORTH",61755,44.92,-1.24,0.00
"01/11/2015 00:45:00","NPX",61845,72.58,3.69,-22.73
"01/11/2015 00:45:00","O H",61846,45.69,-3.69,-3.23
"01/11/2015 00:45:00","PJM",61847,59.90,0.78,-12.95
"01/11/2015 00:45:00","WEST",61752,46.29,-2.86,-2.99
"01/11/2015 00:50:00","CAPITL",61757,317.70,-1.40,-338.77
"01/11/2015 00:50:00","CENTRL",61754,21.01,0.26,-40.42
"01/11/2015 00:50:00","DUNWOD",61760,235.00,-1.71,-256.39
"01/11/2015 00:50:00","GENESE",61753,12.71,0.71,-31.67
"01/11/2015 00:50:00","H Q",61844,-19.34,0.33,0.00
"01/11/2015 00:50:00","HUD VL",61758,232.86,-1.71,-254.24
"01/11/2015 00:50:00","LONGIL",61762,234.68,-2.22,-256.57
"01/11/2015 00:50:00","MHK VL",61756,26.65,-0.59,-46.91
"01/11/2015 00:50:00","MILLWD",61759,236.97,-1.79,-258.43
"01/11/2015 00:50:00","N.Y.C.",61761,235.01,-1.83,-256.52
"01/11/2015 00:50:00","NORTH",61755,-19.14,0.53,0.00
"01/11/2015 00:50:00","NPX",61845,281.03,-1.55,-302.25
"01/11/2015 00:50:00","O H",61846,24.88,1.63,-42.92
"01/11/2015 00:50:00","PJM",61847,152.35,-0.28,-172.30
"01/11/2015 00:50:00","WEST",61752,21.34,1.24,-39.78
"01/11/2015 00:55:00","CAPITL",61757,26.27,1.77,0.00
"01/11/2015 00:55:00","CENTRL",61754,24.16,-0.34,0.00
"01/11/2015 00:55:00","DUNWOD",61760,26.66,2.16,0.00
"01/11/2015 00:55:00","GENESE",61753,23.60,-0.91,0.00
"01/11/2015 00:55:00","H Q",61844,24.09,-0.42,0.00
"01/11/2015 00:55:00","HUD VL",61758,26.66,2.16,0.00
"01/11/2015 00:55:00","LONGIL",61762,27.32,2.82,0.00
"01/11/2015 00:55:00","MHK VL",61756,25.24,0.73,0.00
"01/11/2015 00:55:00","MILLWD",61759,26.76,2.25,0.00
"01/11/2015 00:55:00","N.Y.C.",61761,26.81,2.30,0.00
"01/11/2015 00:55:00","NORTH",61755,23.82,-0.69,0.00
"01/11/2015 00:55:00","NPX",61845,26.47,1.96,0.00
"01/11/2015 00:55:00","O H",61846,22.47,-2.03,0.00
"01/11/2015 00:55:00","PJM",61847,24.85,0.34,0.00
"01/11/2015 00:55:00","WEST",61752,22.96,-1.54,0.00
"01/11/2015 01:00:00","CAPITL",61757,301.66,1.66,-277.02
"01/11/2015 01:00:00","CENTRL",61754,55.72,-0.32,-33.06
"01/11/2015 01:00:00","DUNWOD",61760,234.68,2.05,-209.65
"01/11/2015 01:00:00","GENESE",61753,47.96,-0.92,-25.90
"01/11/2015 01:00:00","H Q",61844,22.59,-0.39,0.00
"01/11/2015 01:00:00","HUD VL",61758,232.95,2.07,-207.90
"01/11/2015 01:00:00","LONGIL",61762,235.32,2.53,-209.80
"01/11/2015 01:00:00","MHK VL",61756,62.04,0.69,-38.36
"01/11/2015 01:00:00","MILLWD",61759,236.44,2.14,-211.32
"01/11/2015 01:00:00","N.Y.C.",61761,234.95,2.21,-209.76
"01/11/2015 01:00:00","NORTH",61755,22.37,-0.62,0.00
"01/11/2015 01:00:00","NPX",61845,271.98,1.84,-247.16
"01/11/2015 01:00:00","O H",61846,56.13,-1.95,-35.10
"01/11/2015 01:00:00","PJM",61847,164.27,0.39,-140.89
"01/11/2015 01:00:00","WEST",61752,53.97,-1.54,-32.52
"01/11/2015 01:05:00","CAPITL",61757,138.57,9.19,0.00
"01/11/2015 01:05:00","CENTRL",61754,128.61,-0.77,0.00
"01/11/2015 01:05:00","DUNWOD",61760,140.77,11.39,0.00
"01/11/2015 01:05:00","GENESE",61753,124.85,-4.53,0.00
"01/11/2015 01:05:00","H Q",61844,150.50,-2.33,-23.44
"01/11/2015 01:05:00","HUD VL",61758,140.89,11.51,0.00
"01/11/2015 01:05:00","LONGIL",61762,143.49,14.10,0.00
"01/11/2015 01:05:00","MHK VL",61756,133.52,4.14,0.00
"01/11/2015 01:05:00","MILLWD",61759,141.28,11.90,0.00
"01/11/2015 01:05:00","N.Y.C.",61761,141.54,12.16,0.00
"01/11/2015 01:05:00","NORTH",61755,125.63,-3.76,0.00
"01/11/2015 01:05:00","NPX",61845,139.48,10.10,0.00
"01/11/2015 01:05:00","O H",61846,119.68,-9.71,0.00
"01/11/2015 01:05:00","PJM",61847,155.80,2.98,-23.44
"01/11/2015 01:05:00","WEST",61752,121.62,-7.76,0.00
"01/11/2015 01:10:00","CAPITL",61757,93.34,6.10,0.00
"01/11/2015 01:10:00","CENTRL",61754,86.72,-0.52,0.00
"01/11/2015 01:10:00","DUNWOD",61760,94.83,7.59,0.00
"01/11/2015 01:10:00","GENESE",61753,84.27,-2.97,0.00
