,date,mae,mape,mre,mse
114,1/1/19,18.27099223,-8.28275776,30.3085301,31.16632197
108,1/2/19,9.088176676,31.29226008,27.94892944,9.949704085
98,1/3/19,9.756133626,46.73252586,39.58131162,10.95878688
119,1/4/19,23.08626526,inf,48.20937668,48.72772423
111,1/5/19,13.60311442,37.01432623,36.64632118,15.45646238
100,1/6/19,14.01387187,30.04544995,62.87066786,17.01105513
93,1/7/19,10.04282104,33.19293685,29.85491745,16.55599681
95,1/8/19,40.06925283,50.10825139,57.84503079,60.10396844
106,1/9/19,14.01266551,161.2388322,53.64726458,16.70333671
116,1/10/19,12.05548991,35.64116474,36.01430927,15.04658042
110,1/11/19,11.79695821,23.02137848,25.73507463,19.86636457
103,1/12/19,9.746948751,31.42216518,29.95988346,11.31195937
94,1/13/19,10.21805227,25.36987034,24.53878487,11.65151659
121,1/14/19,7.88405955,23.24907051,22.23706728,9.625173774
115,1/15/19,62.75263031,3566.4173,68.15104496,265.3162976
104,1/16/19,12.32615112,46.09599511,43.13425003,14.1246305
96,1/17/19,11.34833069,-3.085439164,33.88193525,13.66712492
92,1/18/19,16.3812144,45.33635936,46.66071015,20.53239949
102,1/19/19,16.94902568,31.16705286,36.92128962,28.8743595
113,1/20/19,9.674377441,28.74285331,30.15625355,12.8262102
120,1/21/19,14.898467,29.5352131,32.10271124,22.12426281
99,1/22/19,12.23123617,25.29066448,27.23878555,17.70032878
107,1/23/19,10.97336599,26.79839485,26.32633762,13.52732463
112,1/24/19,8.717506816,29.35782025,26.82791316,10.96151952
118,1/25/19,9.048273417,20.71423049,19.72035362,11.47689577
91,1/26/19,6.921955668,44.30150148,21.91966328,8.553886894
101,1/27/19,8.180340983,24.96395553,24.15395581,10.19048287
105,1/28/19,71.2518633,90.43329967,66.44098249,110.7862502
97,1/29/19,18.98592092,84.27908539,37.50644931,32.98409021
109,1/30/19,45.63569865,42.56631272,48.12728848,58.14957727
117,1/31/19,280.9715181,85.09352473,86.43094546,309.1267915
200,2/1/19,130.5344653,54.73756856,66.69179724,221.6348658
190,2/2/19,51.35723684,93.44971071,173.2627228,55.91472047
183,2/3/19,28.83738475,106.7251685,81.74730802,32.8567633
207,2/4/19,51.39450165,8718.140476,34.50569113,60.06560026
203,2/5/19,108.4254339,39.54295535,42.56609992,133.3674066
198,2/6/19,100.7266186,inf,62.0694848,233.6292235
187,2/7/19,19.94634715,27.90745128,36.23451777,46.12590553
185,2/8/19,24.96451019,21.01727901,37.8052059,35.3457948
192,2/9/19,220.2384933,42.35626006,58.97606402,510.7658879
209,2/10/19,115.3981907,35.74754713,33.99960197,155.2417077
204,2/11/19,20.1994043,14.12284525,8.081202867,23.88590382
195,2/12/19,12.068685,29.71826511,29.43940724,14.60472558
186,2/13/19,131.2897335,42.91323572,42.19070323,192.6841824
205,2/14/19,9.499296672,19.49330846,32.20146049,12.85277694
199,2/15/19,112.5972566,147.2536671,43.76497709,156.9743423
193,2/16/19,78.31805369,173.3707154,150.7553908,85.77968971
184,2/17/19,343.7617639,75.76216863,80.50713204,435.7814371
189,2/18/19,96.85433085,22.81302196,24.15352598,125.4668491
197,2/19/19,114.0412696,132.6814489,55.8713153,159.4050813
201,2/20/19,10.33211497,26.42174412,24.81295622,12.10315745
206,2/21/19,101.2029159,39.1564632,38.25287275,146.3517349
182,2/22/19,319.4340806,319.9458212,279.4393269,363.9773289
191,2/23/19,153.5420524,464.4214401,392.0306025,168.5246862
202,2/24/19,92.828862,46.80406613,83.18340015,166.1794132
208,2/25/19,118.8429637,39465.82887,69.26337444,175.6637501
188,2/26/19,48.9622467,123.0195874,66.12387083,63.30158232
196,2/27/19,15.55073191,39.13786929,40.67278756,19.74512033
194,2/28/19,10.67275859,inf,27.1767396,13.52495484
221,3/1/19,9.970279643,24.50956077,23.87447608,13.26077844
227,3/2/19,11.67477834,37.93740056,31.54670512,14.59983709
235,3/3/19,16.79815379,50.09391167,48.43176412,21.02586019
211,3/4/19,29.71482625,4271.261181,51.06261716,86.66682685
215,3/5/19,8.079917704,23.67927854,23.0599485,10.49233742
223,3/6/19,9.074865214,23.03000894,22.11561267,11.01570364
234,3/7/19,26.63527995,5634.472657,52.74704547,53.56961091
237,3/8/19,24.91240835,inf,66.28652206,61.0274479
230,3/9/19,8.416203206,30.12055151,22.70073579,9.66539607
218,3/11/19,8.670356242,21.8756299,21.65063153,10.88932826
222,3/12/19,21.40059713,33.7175122,36.3736646,30.13096519
231,3/13/19,18.21987976,26.92827934,34.74258428,40.24713494
