,date,mae,mape,mre,mse
30,1/1/18,6.456711438,30.88222229,29.00589146,8.632919775
5,1/2/18,13.55991807,38.50425858,42.65298808,32.80189107
13,1/3/18,8.305009473,inf,58.18209684,11.44532617
19,1/4/18,6.795890071,1587.518518,63.29854531,9.343712496
24,1/5/18,10.37295176,810.0793183,33.49309721,17.7245878
1,1/6/18,7.737883949,inf,36.63048144,10.05654992
12,1/7/18,7.365305456,28.87980718,29.71628662,9.32511278
15,1/8/18,5.836304448,40.37949578,28.7013722,7.30895476
8,1/9/18,16.88960835,inf,62.92798266,25.2082794
20,1/10/18,10.21890106,3279.95777,41.24960063,20.96063383
27,1/11/18,13.18142935,59.51230175,51.520146,26.07135963
0,1/12/18,22.90298698,inf,56.90890045,50.08171031
9,1/13/18,8.458680865,3902.899399,37.25880791,13.94664984
22,1/14/18,6.984218992,inf,77.1807974,8.329717538
28,1/15/18,7.481543503,12.5069273,32.56502667,8.994494011
7,1/16/18,7.610840632,68.35749314,47.83057298,9.363012093
17,1/17/18,4.899285444,3207.694173,38.02316992,6.557054552
10,1/18/18,17.52090974,114.3833832,100.680418,28.8103697
2,1/19/18,10.99886524,-106.8342462,47.08082432,18.23300986
29,1/20/18,7.827400665,422.4076738,45.24618029,12.13104865
23,1/21/18,6.027352066,416.9397987,32.21460217,7.484121518
14,1/22/18,4.177860425,20.96917653,20.67991796,5.242595733
4,1/23/18,7.283013039,81.10369091,44.56486485,9.445174085
25,1/24/18,9.186060295,inf,60.22329739,12.55746464
18,1/25/18,9.329875717,inf,43.14060905,12.01773778
11,1/26/18,13.36163995,inf,171.0654853,15.75330962
3,1/27/18,9.367596372,21.87938663,39.68619822,14.01726077
6,1/28/18,10.08048201,50.67368145,46.4475912,13.20802816
16,1/29/18,11.3499484,300.7375626,69.80109202,13.72629753
26,1/30/18,8.482775701,48.65076627,33.36391623,10.2049771
21,1/31/18,5.631045583,24.80726214,23.95085492,6.855466435
113,2/1/18,9.138780937,76.38923799,39.33478165,10.92112137
94,2/2/18,10.71981199,27.82350088,31.14828476,15.67954888
103,2/3/18,16.65070506,38.87832342,47.96688569,33.82667269
111,2/4/18,8.717150052,75.68230057,51.27107003,12.58356745
118,2/5/18,6.69061999,31.90722971,24.48683661,7.870109978
98,2/6/18,28.69399924,222.6979427,219.4709611,32.59747904
104,2/7/18,12.83852798,89.94858067,60.50082892,14.97487729
101,2/8/18,12.50144072,67.62248533,47.0494868,15.02345519
91,2/9/18,6.335737178,22.75809211,23.56752825,7.806732464
110,2/10/18,8.458847186,467.3257694,66.46553577,10.51362839
116,2/11/18,10.43257023,22.72746333,27.88090569,23.04807339
99,2/12/18,8.739032847,34.27554266,31.01422357,13.31478163
107,2/13/18,7.567760951,31.93495522,32.62434668,10.38593696
